Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude,Snippet,naics code,input tokens,output tokens
1,ICBC,134.8,37.8,2813.5,237.3,China,Asia,35.86166,104.195397,"At ICBC, our job is making sure the auto insurance system works for all road users.",5241,93,2
2,China Construction Bank,113.1,30.6,2241.0,202.0,China,Asia,35.86166,104.195397,"Address of headquarters:No.25, Finance Street, Xicheng District, Beijing, China, Postcode 100033 Mobile website: m.ccb.com",5221,108,2
3,JPMorgan Chase,108.2,21.3,2359.1,191.4,USA,North America,37.09024,-95.712891,"Committed to service, innovation and growth. JPMorganChase serves millions of customers, clients and communities in over 100 global markets.",5221,104,2
4,General Electric,147.4,13.6,685.3,243.7,USA,North America,37.09024,-95.712891,GE.com has been updated to serve our three go-forward companies. Please visit these standalone sites for more information.,3344,96,2
5,Exxon Mobil,420.7,44.9,333.8,400.4,USA,North America,37.09024,-95.712891,"ExxonMobil manages an industry-leading portfolio of resources, and is one of the largest integrated fuels, lubricants and chemical companies in the world. We've ...",3241,106,2
6,HSBC Holdings,104.9,14.3,2684.1,201.3,UK,Europe,55.378051,-3.435973,"HSBC, one of the largest banking and financial services institutions in the world, serves millions of customers through its three Global Businesses.",5221,100,2
7,Royal Dutch Shell,467.2,26.6,360.3,213.1,The Netherlands,Europe,52.132633,5.291266,Shell is a global group of energy and petrochemical companies. Learn more about Shell on our global website.,2111,96,2
8,Agricultural Bank of China,103.0,23.0,2124.2,150.8,China,Asia,35.86166,104.195397,The Agricultural Bank of China (ABC) officially signed the UN Principles for Responsible Banking (PRB) and became a,5221,101,2
9,PetroChina,308.9,18.3,347.8,261.2,China,Asia,35.86166,104.195397,PetroChina Company Limited Intends to Deregister and Ter... [ 2023-10-30 ] PetroChina Posted Another Record Result for First Nine M...,2111,108,2
9,Berkshire Hathaway,162.5,14.8,427.5,252.8,USA,North America,37.09024,-95.712891,"A Message from Warren E. Buffett · News Releases from Berkshire Hathaway and from Warren Buffett Updated August 3, 2024. Annual & Interim Reports",5511,107,2
11,Bank of China,98.1,22.1,2033.8,131.7,China,Asia,35.86166,104.195397,Online Banking · Corporate Financing · Personal Savings · Credit Cards · Debit Cards · ATM Site ...,5221,94,2
12,Wells Fargo,91.2,18.9,1423.0,201.3,USA,North America,37.09024,-95.712891,"Committed to the financial health of our customers and communities. Explore bank accounts, loans, mortgages, investing, credit cards & banking services»",5221,103,2
